"player_api_id","num_appearences","num_leagues","player_name","overall_rating","gk_rating"
18520,59,1,"Marcos Angeleri",76,35
18521,23,1,"Jose Maria Basanta",75,42
18533,13,1,"Loic Loval-Landre",65,29
18548,57,1,"Jose Ze Pedro",67,40
18549,55,1,"Tiago Targino",70,30
18552,55,1,"Ferreira de Matos Alonso",71,41
18558,18,1,"Nicolas Navarro",67,264
18576,92,2,"Lucas Barrios",75,49
18590,32,1,"Cristian Llama",64,52
18592,37,1,"Roman Martinez",69,41
18628,73,2,"Marco Ruben",76,41
18636,44,1,"Pablo Barzola",64,35
18644,25,1,"Federico Almerares",66,47
18653,2,1,"Jose Gustavo Sand",68,54
18664,67,1,"Christian Fernandez",67,38
18673,130,1,"Gustavo Cabral",77,36
18705,14,2,"Jesus Datolo",77,46
18733,73,1,"Pablo Barrientos",72,46
18734,74,2,"Dario Cvitanich",74,46
18784,89,1,"Emiliano Daniel Armenteros",70,32
18814,74,2,"Fernando Gago",76,42
18816,54,1,"Pablo Martin Ledesma",65,37
18820,78,1,"Ezequiel Scarione",73,44
18823,194,1,"Matias Silvestre",73,16
18848,5,1,"Jonathan Bottinelli",71,37
18853,14,1,"Claudio Morel",68,42
18859,12,2,"Mauro Boselli",74,41
18880,133,1,"Nicolas Federico Spolli",74,41
18904,164,3,"David Abraham",75,39
18913,16,1,"Juan Eduardo Eluchans",69,44
18923,14,1,"Carlos Matheu",67,37
18925,179,2,"Ezequiel Lavezzi",78,47
18945,38,2,"Santiago Gentiletti",77,41
19000,35,1,"Dante Adrian Senger",61,46
19014,19,1,"Guillaume Ducatel",58,42
19020,124,1,"Christopher Samba",77,35
19232,91,1,"Rafael Miranda",73,38
19243,169,2,"Diego Costa",85,44
19249,174,1,"Danilo",78,30
19264,59,1,"Evandro Goebel",75,40
19277,1,1,"Dinei",72,47
19281,65,1,"Edivaldo Rojas",65,42
19285,27,1,"Rafael Marques",72,41
19297,28,1,"Thiago Xavier",64,42
19309,16,1,"Edson Sitta",68,34
19310,3,1,"Dyego Rocha Coelho",69,36
19327,146,2,"Miranda",85,41
19344,112,2,"Artur",73,290
19352,51,1,"Jonathan",73,35
19353,33,1,"Fabionn Lopes Patrick",64,40
19370,13,1,"Rodrigo Arroz",64,37
19372,100,2,"Bruno China",67,38
19380,5,1,"Vinicius Pacheco",70,35
19393,81,1,"Diego",70,281
19403,5,2,"Galatto",69,276
19427,41,1,"Claudio Pitbull",66,30
19434,36,1,"Marcelo Boeck",71,272
19435,54,1,"Renan",74,293
19436,13,1,"Edinho",71,33
19439,80,1,"Joao Guilherme",68,42
19446,33,1,"Pedro Silva",70,51
19488,6,1,"Rivaldo",67,46
19489,67,1,"Halisson",69,46
19511,128,1,"Josue",73,57
19512,13,1,"Renan Silva",67,39
19515,193,1,"Cassio",74,288
19524,93,1,"Claudemir",69,45
19531,23,1,"Silva",65,38
19533,82,1,"Neymar",90,50
19674,8,1,"Branko Jelic",58,47
19696,9,1,"Zhi Zheng",70,46
19908,7,1,"Junmin Hao",67,48
20118,78,1,"Takafumi Akahoshi",68,38
20125,89,1,"Hajime Hosogai",70,52
20174,2,1,"Koki Mizuno",67,124
20196,2,1,"Kisho Yano",67,51
20241,13,1,"Takahito Soma",63,39
20276,82,1,"Hulk",84,40
20323,4,1,"Carciano",67,127
20325,22,1,"Marcelo Silva",71,39
20329,11,1,"Rafael Dias",65,50
20342,2,1,"Rafael Santos",69,32
20396,80,1,"Felipe Santana",74,32
20399,3,1,"Dudu",60,117
20401,126,3,"Michel Bastos",78,47
20445,54,1,"Ederson Tormena",66,37
20446,24,1,"Fagner",72,32
20482,94,1,"Marcos Ceara",72,41
20645,85,2,"Mike Havenaar",72,40
20694,131,2,"Shinji Okazaki",76,32
20720,41,1,"Robert Cullen",66,41
20747,110,2,"Eiji Kawashima",69,272
20771,4,1,"Akihiro Ienaga",67,47
20790,38,1,"Michihirio Yasuda",64,36
21123,5,1,"Erik Friberg",65,8
21161,32,1,"Amoreirinha",65,39
21164,2,1,"Thiago Neves",77,46
21213,9,1,"Daniel Dunst",55,39
21410,13,1,"Sebastian Leto",70,38
21414,99,2,"Oscar Trejo",77,48
21445,15,1,"Juca",71,40
21446,144,1,"Hernanes",80,39
21450,96,1,"Marc Bertran",69,42
21458,22,1,"Andre Leone",71,99
21528,9,1,"Mark Burchill",55,88
21613,54,2,"Nikola Kalinic",78,38
21645,34,1,"David Meul",62,253
21657,8,1,"Alexandre Di Gregorio",59,105
21726,49,1,"Ibrahima Conte",71,45
21744,1,1,"Bart Goossens",57,124
21751,36,1,"Mohammed Rabiu",71,42
21753,76,1,"Tim Matthijs",68,48
21765,76,1,"Jop van der Linden",72,45
21776,43,2,"Gregory Lorenzi",66,43
21785,2,1,"Esteban Solari",70,120
21812,30,1,"Michael Klukowski",69,45
21834,93,1,"Rachid Farssi",65,51
21849,7,1,"Chris McCann",69,43
21853,32,1,"Dudley Campbell",69,30
21864,21,1,"Stephen Quinn",71,29
21894,2,1,"Junio Cesar Arcanjo Juninho",65,43
21914,21,1,"Chris Robertson",63,35
21982,10,1,"Raffaele Schiavi",66,50
22045,3,1,"Lee Tomlin",70,48
22096,38,1,"Giuseppe Aquaro",60,29
22103,4,1,"Luigi Beghetto",61,115
22125,34,1,"Paulo Lopes",69,277
22126,2,1,"Hugo Carreira",67,120
22128,57,1,"Tony",65,41
22130,1,1,"Hugo Valdir",60,39
22131,75,1,"Hugo Morais",66,48
22134,2,1,"Rui Borges",65,126
22136,2,1,"Tiago Rosa",57,40
22139,17,1,"Anselmo",68,31
22234,3,1,"Jose Mari",61,35
22283,73,1,"Fabrizio Cacciatore",72,42
22305,1,1,"Simone Farelli",59,229
22313,125,1,"Elkin Soto",72,58
22337,72,1,"Leandro Castan",79,29
22343,4,1,"Benjamin Fischer",46,102
22355,4,1,"Lorenzo Del Prete",70,37
22382,56,1,"Drissa Diarra",59,36
22386,29,1,"Stefano Ferrario",65,41
22418,56,1,"Peterson Pecanha",73,283
22421,80,2,"Tiago Valente",65,42
22427,27,1,"Ricardo Pedrinha,27",70,133
22428,45,1,"Cristiano",71,32
22434,14,1,"Ronny Carlos da Silva",66,37
22444,11,1,"Garry Wood",55,97
22514,27,1,"Rodrigues Saulo",67,41
22519,69,1,"Carlitos",66,35
22535,17,1,"Elson",69,43
22543,147,4,"Radamel Falcao",82,33
22544,21,1,"Wason Renteria",69,49
22545,25,1,"Marcinho",73,38
22700,12,1,"Lorenzo Bucchi",57,222
22706,28,1,"Kostadin Hazurov",65,29
22707,79,2,"Stanislav Manolev",70,46
